Specimen,Sex,Morph,Stain,CellType,CellCoEx,CellCount,CellTotal,CellPercent,,
HDO648fr,female,red,UV1-UV2-B,UV1-UV2,yes,162,916,17.69,,
HDO648fr,female,red,UV1-UV2-B,UV1 ,no,190,916,20.74,,
HDO648fr,female,red,UV1-UV2-B,UV2 ,no,25,916,2.73,,
HDO648fr,female,red,UV1-UV2-B,B-LW,yes,256,916,27.95,,
HDO648fr,female,red,UV1-UV2-B,B,no,283,916,30.90,,
HDO706bf,female,blue,UV1-B-LW,UV1-UV2,yes,353,1954,18.07,,
HDO706bf,female,blue,UV1-B-LW,UV1 ,no,576,1954,29.48,,
HDO706bf,female,blue,UV1-B-LW,UV2 ,no,37,1954,1.89,,
HDO706bf,female,blue,UV1-B-LW,B-LW,yes,500,1954,25.59,,
HDO706bf,female,blue,UV1-B-LW,B,no,488,1954,24.97,,
HDO647fg,female,green,UV1-UV2-B,UV1-UV2,yes,32,234,13.68,,
HDO647fg,female,green,UV1-UV2-B,UV1 ,no,39,234,16.67,,
HDO647fg,female,green,UV1-UV2-B,UV2 ,no,41,234,17.52,,
HDO647fg,female,green,UV1-UV2-B,B-LW,yes,49,234,20.94,,
HDO647fg,female,green,UV1-UV2-B,B,no,73,234,31.20,,
HDO179fr,female,red,UV1-UV2,UV1-UV2,yes,67,518,12.93,,
HDO179fr,female,red,UV1-UV2,UV1 ,no,110,518,21.24,,
HDO179fr,female,red,UV1-UV2,UV2 ,no,40,518,7.72,,
HDO179fr,female,red,UV1-UV2,B-LW,yes,2,518,0.39,,
HDO179fr,female,red,UV1-UV2,B,no,299,518,57.72,,
HDO699fg,female,green,UV1-UV2-B,UV1-UV2,yes,139,1090,12.75,,
HDO699fg,female,green,UV1-UV2-B,UV1 ,no,218,1090,20.00,,
HDO699fg,female,green,UV1-UV2-B,UV2 ,no,0,1090,0.00,,
HDO699fg,female,green,UV1-UV2-B,B-LW,yes,244,1090,22.39,,
HDO699fg,female,green,UV1-UV2-B,B,no,489,1090,44.86,,
HDO703fb,female,blue,UV1-UV2-B,UV1-UV2,yes,36,318,11.32,,
HDO703fb,female,blue,UV1-UV2-B,UV1 ,no,103,318,32.39,,
HDO703fb,female,blue,UV1-UV2-B,UV2 ,no,0,318,0.00,,
HDO703fb,female,blue,UV1-UV2-B,B-LW,yes,2,318,0.63,,
HDO703fb,female,blue,UV1-UV2-B,B,no,177,318,55.66,,
HDO704bm,male,blue,UV1-UV2-B,UV1-UV2,yes,36,466,7.73,,
HDO704bm,male,blue,UV1-UV2-B,UV1 ,no,89,466,19.10,,
HDO704bm,male,blue,UV1-UV2-B,UV2 ,no,71,466,15.24,,
HDO704bm,male,blue,UV1-UV2-B,B-LW,yes,176,466,37.77,,
HDO704bm,male,blue,UV1-UV2-B,B,no,94,466,20.17,,
"HDO707gm ""LA..1""",male,green,UV1-B-LW,UV1-UV2,yes,1,122,0.82,,
"HDO707gm ""LA..1""",male,green,UV1-B-LW,UV1 ,no,39,122,31.97,,
"HDO707gm ""LA..1""",male,green,UV1-B-LW,UV2 ,no,9,122,7.38,,
"HDO707gm ""LA..1""",male,green,UV1-B-LW,B-LW,yes,32,122,26.23,,
"HDO707gm ""LA..1""",male,green,UV1-B-LW,B,no,41,122,33.61,,
"HDO707gm  ""LA..2""",male,green,UV1-B-LW,UV1-UV2,yes,103,850,12.12,,
"HDO707gm  ""LA..2""",male,green,UV1-B-LW,UV1 ,no,273,850,32.12,,
"HDO707gm  ""LA..2""",male,green,UV1-B-LW,UV2 ,no,12,850,1.41,,
"HDO707gm  ""LA..2""",male,green,UV1-B-LW,B-LW,yes,289,850,34.00,,
