Specimen,Sex,Morph,Stain,OmmType,OmmCoEx,OmmCount,OmmTotal,OmmPercent
HDO648fr,female,red,UV1-UV2-B,UV1-UV2 / UV1-UV2,2,65,458,14.19213974
HDO648fr,female,red,UV1-UV2-B,UV2 / UV1,0,1,458,0.218340611
HDO648fr,female,red,UV1-UV2-B,UV2 / UV1- UV2,1,12,458,2.620087336
HDO648fr,female,red,UV1-UV2-B,B-LW / UV1-UV2,2,18,458,3.930131004
HDO648fr,female,red,UV1-UV2-B,UV2 / B-LW,1,2,458,0.436681223
HDO648fr,female,red,UV1-UV2-B,B-LW / B-LW,2,46,458,10.04366812
HDO648fr,female,red,UV1-UV2-B,B / B-LW,1,54,458,11.79039301
HDO648fr,female,red,UV1-UV2-B,B/B,0,65,458,14.19213974
HDO648fr,female,red,UV1-UV2-B,B / UV1,0,98,458,21.39737991
HDO648fr,female,red,UV1-UV2-B,UV1 / B-LW,1,90,458,19.65065502
HDO648fr,female,red,UV1-UV2-B,UV1 / UV1,0,0,458,0
HDO648fr,female,red,UV1-UV2-B,UV2 / UV2,0,5,458,1.091703057
HDO648fr,female,red,UV1-UV2-B,UV2 / B,0,0,458,0
HDO648fr,female,red,UV1-UV2-B,UV1-UV2 / B,1,1,458,0.218340611
HDO648fr,female,red,UV1-UV2-B,UV1-UV2 / UV1,1,1,458,0.218340611
HDO706bf,female,blue,UV1-B-LW,UV1-UV2 / UV1-UV2,2,161,977,16.4790174
HDO706bf,female,blue,UV1-B-LW,UV2 / UV1,0,27,977,2.763561924
HDO706bf,female,blue,UV1-B-LW,UV2 / UV1- UV2,1,0,977,0
HDO706bf,female,blue,UV1-B-LW,B-LW / UV1-UV2,2,8,977,0.818833163
HDO706bf,female,blue,UV1-B-LW,UV2 / B-LW,1,4,977,0.409416581
HDO706bf,female,blue,UV1-B-LW,B-LW / B-LW,2,76,977,7.778915046
HDO706bf,female,blue,UV1-B-LW,B / B-LW,1,126,977,12.89662231
HDO706bf,female,blue,UV1-B-LW,B/B,0,61,977,6.243602866
HDO706bf,female,blue,UV1-B-LW,B / UV1,0,238,977,24.36028659
HDO706bf,female,blue,UV1-B-LW,UV1 / B-LW,1,210,977,21.49437052
HDO706bf,female,blue,UV1-B-LW,UV1 / UV1,0,39,977,3.991811668
HDO706bf,female,blue,UV1-B-LW,UV2 / UV2,0,2,977,0.204708291
HDO706bf,female,blue,UV1-B-LW,UV2 / B,0,2,977,0.204708291
HDO706bf,female,blue,UV1-B-LW,UV1-UV2 / B,1,0,977,0
HDO706bf,female,blue,UV1-B-LW,UV1-UV2 / UV1,1,23,977,2.354145343
HDO647fg,female,green,UV1-UV2-B,UV1-UV2 / UV1-UV2,2,4,117,3.418803419
HDO647fg,female,green,UV1-UV2-B,UV2 / UV1,0,2,117,1.709401709
HDO647fg,female,green,UV1-UV2-B,UV2 / UV1- UV2,1,0,117,0
HDO647fg,female,green,UV1-UV2-B,B-LW / UV1-UV2,2,13,117,11.11111111
HDO647fg,female,green,UV1-UV2-B,UV2 / B-LW,1,3,117,2.564102564
HDO647fg,female,green,UV1-UV2-B,B-LW / B-LW,2,8,117,6.837606838
HDO647fg,female,green,UV1-UV2-B,B / B-LW,1,12,117,10.25641026
HDO647fg,female,green,UV1-UV2-B,B/B,0,10,117,8.547008547
HDO647fg,female,green,UV1-UV2-B,B / UV1,0,29,117,24.78632479
HDO647fg,female,green,UV1-UV2-B,UV1 / B-LW,1,5,117,4.273504274
HDO647fg,female,green,UV1-UV2-B,UV1 / UV1,0,1,117,0.854700855
HDO647fg,female,green,UV1-UV2-B,UV2 / UV2,0,17,117,14.52991453
HDO647fg,female,green,UV1-UV2-B,UV2 / B,0,2,117,1.709401709
HDO647fg,female,green,UV1-UV2-B,UV1-UV2 / B,1,10,117,8.547008547
HDO647fg,female,green,UV1-UV2-B,UV1-UV2 / UV1,1,1,117,0.854700855
HDO179fr,female,red,UV1-UV2,UV1-UV2 / UV1-UV2,2,29,259,11.1969112
HDO179fr,female,red,UV1-UV2,UV2 / UV1,0,13,259,5.019305019
HDO179fr,female,red,UV1-UV2,UV2 / UV1- UV2,1,6,259,2.316602317
HDO179fr,female,red,UV1-UV2,B-LW / UV1-UV2,2,2,259,0.772200772
HDO179fr,female,red,UV1-UV2,UV2 / B-LW,1,0,259,0
HDO179fr,female,red,UV1-UV2,B-LW / B-LW,2,0,259,0
HDO179fr,female,red,UV1-UV2,B / B-LW,1,0,259,0
HDO179fr,female,red,UV1-UV2,B/B,0,100,259,38.61003861
HDO179fr,female,red,UV1-UV2,B / UV1,0,95,259,36.67953668
HDO179fr,female,red,UV1-UV2,UV1 / B-LW,1,0,259,0
HDO179fr,female,red,UV1-UV2,UV1 / UV1,0,1,259,0.386100386
HDO179fr,female,red,UV1-UV2,UV2 / UV2,0,9,259,3.474903475
HDO179fr,female,red,UV1-UV2,UV2 / B,0,3,259,1.158301158
HDO179fr,female,red,UV1-UV2,UV1-UV2 / B,1,1,259,0.386100386
HDO179fr,female,red,UV1-UV2,UV1-UV2 / UV1,1,0,259,0
HDO699fg,female,green,UV1-UV2-B,UV1-UV2 / UV1-UV2,2,56,545,10.27522936
HDO699fg,female,green,UV1-UV2-B,UV2 / UV1,0,0,545,0
HDO699fg,female,green,UV1-UV2-B,UV2 / UV1- UV2,1,0,545,0
HDO699fg,female,green,UV1-UV2-B,B-LW / UV1-UV2,2,0,545,0
HDO699fg,female,green,UV1-UV2-B,UV2 / B-LW,1,0,545,0
HDO699fg,female,green,UV1-UV2-B,B-LW / B-LW,2,119,545,21.83486239
HDO699fg,female,green,UV1-UV2-B,B / B-LW,1,6,545,1.100917431
HDO699fg,female,green,UV1-UV2-B,B/B,0,141,545,25.87155963
HDO699fg,female,green,UV1-UV2-B,B / UV1,0,178,545,32.66055046
HDO699fg,female,green,UV1-UV2-B,UV1 / B-LW,1,0,545,0
HDO699fg,female,green,UV1-UV2-B,UV1 / UV1,0,18,545,3.302752294
HDO699fg,female,green,UV1-UV2-B,UV2 / UV2,0,0,545,0
HDO699fg,female,green,UV1-UV2-B,UV2 / B,0,0,545,0
HDO699fg,female,green,UV1-UV2-B,UV1-UV2 / B,1,23,545,4.220183486
HDO699fg,female,green,UV1-UV2-B,UV1-UV2 / UV1,1,4,545,0.733944954
HDO703fb,female,blue,UV1-UV2-B,UV1-UV2 / UV1-UV2,2,17,159,10.6918239
HDO703fb,female,blue,UV1-UV2-B,UV2 / UV1,0,0,159,0
HDO703fb,female,blue,UV1-UV2-B,UV2 / UV1- UV2,1,0,159,0
HDO703fb,female,blue,UV1-UV2-B,B-LW / UV1-UV2,2,2,159,1.257861635
HDO703fb,female,blue,UV1-UV2-B,UV2 / B-LW,1,0,159,0
HDO703fb,female,blue,UV1-UV2-B,B-LW / B-LW,2,0,159,0
HDO703fb,female,blue,UV1-UV2-B,B / B-LW,1,0,159,0
HDO703fb,female,blue,UV1-UV2-B,B/B,0,46,159,28.93081761
HDO703fb,female,blue,UV1-UV2-B,B / UV1,0,85,159,53.4591195
HDO703fb,female,blue,UV1-UV2-B,UV1 / B-LW,1,0,159,0
HDO703fb,female,blue,UV1-UV2-B,UV1 / UV1,0,9,159,5.660377358
HDO703fb,female,blue,UV1-UV2-B,UV2 / UV2,0,0,159,0
HDO703fb,female,blue,UV1-UV2-B,UV2 / B,0,0,159,0
HDO703fb,female,blue,UV1-UV2-B,UV1-UV2 / B,1,0,159,0
HDO703fb,female,blue,UV1-UV2-B,UV1-UV2 / UV1,1,0,159,0
HDO704bm,male,blue,UV1-UV2-B,UV1-UV2 / UV1-UV2,2,8,233,3.433476395
HDO704bm,male,blue,UV1-UV2-B,UV2 / UV1,0,2,233,0.858369099
HDO704bm,male,blue,UV1-UV2-B,UV2 / UV1- UV2,1,0,233,0
HDO704bm,male,blue,UV1-UV2-B,B-LW / UV1-UV2,2,14,233,6.008583691
